sku,name,category,unit,description,reorderThreshold,maxStock,currentStock,unitCost,stockNumber,fundCluster
ITM-0031,Sample Item 31,Supplies,box,Description for item 31,2,51,31,1507.00,SN-0031,102
ITM-0032,Sample Item 32,Equipment,set,Description for item 32,3,52,32,1554.00,SN-0032,103
ITM-0033,Sample Item 33,Stationery,roll,Description for item 33,4,53,33,1601.00,SN-0033,101
ITM-0034,Sample Item 34,IT,kg,Description for item 34,5,54,34,1648.00,SN-0034,102
ITM-0035,Sample Item 35,Furniture,pcs,Description for item 35,6,55,35,1695.00,SN-0035,103
ITM-0036,Sample Item 36,Supplies,box,Description for item 36,7,56,36,1742.00,SN-0036,101
ITM-0037,Sample Item 37,Equipment,set,Description for item 37,8,57,37,1789.00,SN-0037,102
ITM-0038,Sample Item 38,Stationery,roll,Description for item 38,9,58,38,1836.00,SN-0038,103
ITM-0039,Sample Item 39,IT,kg,Description for item 39,10,59,39,1883.00,SN-0039,101
ITM-0040,Sample Item 40,Furniture,pcs,Description for item 40,1,60,40,1930.00,SN-0040,102
ITM-0041,Sample Item 41,Supplies,box,Description for item 41,2,61,41,1977.00,SN-0041,103
ITM-0042,Sample Item 42,Equipment,set,Description for item 42,3,62,42,2024.00,SN-0042,101
ITM-0043,Sample Item 43,Stationery,roll,Description for item 43,4,63,43,2071.00,SN-0043,102
ITM-0044,Sample Item 44,IT,kg,Description for item 44,5,64,44,2118.00,SN-0044,103
ITM-0045,Sample Item 45,Furniture,pcs,Description for item 45,6,65,45,2165.00,SN-0045,101
ITM-0046,Sample Item 46,Supplies,box,Description for item 46,7,66,46,2212.00,SN-0046,102
ITM-0047,Sample Item 47,Equipment,set,Description for item 47,8,67,47,2259.00,SN-0047,103
ITM-0048,Sample Item 48,Stationery,roll,Description for item 48,9,68,48,2306.00,SN-0048,101
ITM-0049,Sample Item 49,IT,kg,Description for item 49,10,69,49,2353.00,SN-0049,102
ITM-0050,Sample Item 50,Furniture,pcs,Description for item 50,1,70,50,2400.00,SN-0050,103
ITM-0051,Sample Item 51,Supplies,box,Description for item 51,2,71,51,2447.00,SN-0051,101
ITM-0052,Sample Item 52,Equipment,set,Description for item 52,3,72,52,2494.00,SN-0052,102
ITM-0053,Sample Item 53,Stationery,roll,Description for item 53,4,73,53,2541.00,SN-0053,103
ITM-0054,Sample Item 54,IT,kg,Description for item 54,5,74,54,2588.00,SN-0054,101
ITM-0055,Sample Item 55,Furniture,pcs,Description for item 55,6,75,55,2635.00,SN-0055,102
ITM-0056,Sample Item 56,Supplies,box,Description for item 56,7,76,56,2682.00,SN-0056,103
ITM-0057,Sample Item 57,Equipment,set,Description for item 57,8,77,57,2729.00,SN-0057,101
ITM-0058,Sample Item 58,Stationery,roll,Description for item 58,9,78,58,2776.00,SN-0058,102
ITM-0059,Sample Item 59,IT,kg,Description for item 59,10,79,59,2823.00,SN-0059,103
ITM-0060,Sample Item 60,Furniture,pcs,Description for item 60,1,80,60,2870.00,SN-0060,101
ITM-0061,Sample Item 61,Supplies,box,Description for item 61,2,81,61,2917.00,SN-0061,102
ITM-0062,Sample Item 62,Equipment,set,Description for item 62,3,82,62,2964.00,SN-0062,103
ITM-0063,Sample Item 63,Stationery,roll,Description for item 63,4,83,63,3011.00,SN-0063,101
ITM-0064,Sample Item 64,IT,kg,Description for item 64,5,84,64,3058.00,SN-0064,102
ITM-0065,Sample Item 65,Furniture,pcs,Description for item 65,6,85,65,3105.00,SN-0065,103
ITM-0066,Sample Item 66,Supplies,box,Description for item 66,7,86,66,3152.00,SN-0066,101
ITM-0067,Sample Item 67,Equipment,set,Description for item 67,8,87,67,3199.00,SN-0067,102
ITM-0068,Sample Item 68,Stationery,roll,Description for item 68,9,88,68,3246.00,SN-0068,103
ITM-0069,Sample Item 69,IT,kg,Description for item 69,10,89,69,3293.00,SN-0069,101
ITM-0070,Sample Item 70,Furniture,pcs,Description for item 70,1,90,70,3340.00,SN-0070,102
ITM-0071,Sample Item 71,Supplies,box,Description for item 71,2,91,71,3387.00,SN-0071,103
ITM-0072,Sample Item 72,Equipment,set,Description for item 72,3,92,72,3434.00,SN-0072,101
ITM-0073,Sample Item 73,Stationery,roll,Description for item 73,4,93,73,3481.00,SN-0073,102
ITM-0074,Sample Item 74,IT,kg,Description for item 74,5,94,74,3528.00,SN-0074,103
ITM-0075,Sample Item 75,Furniture,pcs,Description for item 75,6,95,75,3575.00,SN-0075,101
ITM-0076,Sample Item 76,Supplies,box,Description for item 76,7,96,76,3622.00,SN-0076,102
ITM-0077,Sample Item 77,Equipment,set,Description for item 77,8,97,77,3669.00,SN-0077,103
ITM-0078,Sample Item 78,Stationery,roll,Description for item 78,9,98,78,3716.00,SN-0078,101
ITM-0079,Sample Item 79,IT,kg,Description for item 79,10,99,79,3763.00,SN-0079,102
ITM-0080,Sample Item 80,Furniture,pcs,Description for item 80,1,100,80,3810.00,SN-0080,103
ITM-0081,Sample Item 81,Supplies,box,Description for item 81,2,101,81,3857.00,SN-0081,101
ITM-0082,Sample Item 82,Equipment,set,Description for item 82,3,102,82,3904.00,SN-0082,102
ITM-0083,Sample Item 83,Stationery,roll,Description for item 83,4,103,83,3951.00,SN-0083,103
ITM-0084,Sample Item 84,IT,kg,Description for item 84,5,104,84,3998.00,SN-0084,101
ITM-0085,Sample Item 85,Furniture,pcs,Description for item 85,6,105,85,4045.00,SN-0085,102
ITM-0086,Sample Item 86,Supplies,box,Description for item 86,7,106,86,4092.00,SN-0086,103
ITM-0087,Sample Item 87,Equipment,set,Description for item 87,8,107,87,4139.00,SN-0087,101
ITM-0088,Sample Item 88,Stationery,roll,Description for item 88,9,108,88,4186.00,SN-0088,102
ITM-0089,Sample Item 89,IT,kg,Description for item 89,10,109,89,4233.00,SN-0089,103
ITM-0090,Sample Item 90,Furniture,pcs,Description for item 90,1,110,90,4280.00,SN-0090,101
ITM-0091,Sample Item 91,Supplies,box,Description for item 91,2,111,91,4327.00,SN-0091,102
ITM-0092,Sample Item 92,Equipment,set,Description for item 92,3,112,92,4374.00,SN-0092,103
ITM-0093,Sample Item 93,Stationery,roll,Description for item 93,4,113,93,4421.00,SN-0093,101
ITM-0094,Sample Item 94,IT,kg,Description for item 94,5,114,94,4468.00,SN-0094,102
ITM-0095,Sample Item 95,Furniture,pcs,Description for item 95,6,115,95,4515.00,SN-0095,103
ITM-0096,Sample Item 96,Supplies,box,Description for item 96,7,116,96,4562.00,SN-0096,101
ITM-0097,Sample Item 97,Equipment,set,Description for item 97,8,117,97,4609.00,SN-0097,102
ITM-0098,Sample Item 98,Stationery,roll,Description for item 98,9,118,98,4656.00,SN-0098,103
ITM-0099,Sample Item 99,IT,kg,Description for item 99,10,119,99,4703.00,SN-0099,101
ITM-0100,Sample Item 100,Furniture,pcs,Description for item 100,1,120,100,4750.00,SN-0100,102
